Title,Author,Rating,Number of users rated,Price
No Way Out: A Gripping Novel of Suspense ,Fern Michaels,4.1 out of 5 stars,"3,511",$0.00
Fortune and Glory: Tantalizing Twenty-Seven (Stephanie Plum Book 27) ,Audible Audiobook,4.6 out of 5 stars,Other formats: ,$8.99
Make $1000 Selling on eBay Before Christmas ,Kindle,4.7 out of 5 stars,Other format: ,$9.99
Then She Was Gone: A Novel ,Lisa Jewell,4.6 out of 5 stars,"37,002",$8.52
The Last Green Valley: A Novel ,Mark Sullivan,4.6 out of 5 stars,"18,209",$0.00
When the Apricots Bloom: A Novel of Riveting and Evocative Fiction ,Gina Wilkinson,4.2 out of 5 stars,"2,601",$13.58
Glitter Every Day: 365 Quotes from Women I Love ,Andy Cohen,4.5 out of 5 stars,198,$15.58
"Lidia's a Pot, a Pan, and a Bowl: Simple Recipes for Perfect Meals: A Cookbook ",Tanya Bastianich Manuali,4.3 out of 5 stars,Lidia Matticchio Bastianich,$21.57
"Air Fryer Cookbook for Beginners 2022: 1200 Affordable, Quick & Easy Air Fryer Recipes with Tips & Tricks to Fry, Grill, Roast, and Bake Your Favorite Daily Meals ",Paperback,4.8 out of 5 stars,Angela Spark,$0.00
The Vanishing Half: A Novel ,Kindle,4.4 out of 5 stars,Brit Bennett,$0.00
The Perfect Wife (A Jessie Hunt Psychological Suspense Thriller—Book One) ,Paperback,4.4 out of 5 stars,Other formats: ,$0.00
The League: How Five Rivals Created the NFL and Launched a Sports Empire ,John Eisenberg,4.6 out of 5 stars,492,$15.29
The Best of Me ,Nicholas Sparks,4.6 out of 5 stars,"7,531",$7.48
Lying Next to Me ,Gregg Olsen,4.4 out of 5 stars,"10,252",$0.00
A Wrinkle in Time (Time Quintet) ,Audible Audiobook,4.6 out of 5 stars,More Buying Choices,$5.35
Devoted ,Dean Koontz,4.4 out of 5 stars,"16,779",$10.99
All American Christmas ,Rachel Campos-Duffy,4.8 out of 5 stars, and ,$18.70
The Dressmakers of Auschwitz: The True Story of the Women Who Sewed to Survive ,Lucy Adlington,4.5 out of 5 stars,290,$14.38
Going There ,Hardcover,4.4 out of 5 stars,Katie Couric,$0.00
"8 MIRACULOUS MONTHS IN THE MALAYAN JUNGLE: A WWII Pilot's True Story of Faith, Courage, and Survival ","Donald J. ""DJ"" Humphrey  II",4.5 out of 5 stars,637,$15.98
The Hive ,Gregg Olsen,4.0 out of 5 stars,"8,544",$0.00
"The Last Duel: A True Story of Crime, Scandal, and Trial by Combat ",Eric Jager,4.4 out of 5 stars,995,$12.99
