Title,Author,Rating,Number of users rated,Price
The Locked Door: A gripping psychological thriller with a jaw-dropping twist ,Freida McFadden,4.4 out of 5 stars,"8,055",$0.00 
Uncle Tom's Cabin ,Harriet Beecher Stowe,4.6 out of 5 stars,"3,985",$1.99 
Up and Down: Victories and Struggles in the Course of Life ,Bubba Watson,4.7 out of 5 stars,"23,232",$20.74 
A MIRROR ABOVE THE ABYSS: a novel ,Paperback,4.4 out of 5 stars,"23,232",$0.00 
Before She Disappeared: A Novel (A Frankie Elkin Novel Book 1) ,Audible Audiobook,4.4 out of 5 stars,"27,900",$9.99 
The Sanatorium: A Novel ,Sarah Pearse,3.9 out of 5 stars,"13,647",$14.83 
AGATHA CHRISTIE Premium Collection ,Agatha Christie,4.6 out of 5 stars,"1,692",$1.99 
Billy Summers ,Stephen King,4.6 out of 5 stars,"25,227",$15.00 
"Autopsy: A Scarpetta Novel (Kay Scarpetta, 25) ",Kindle,4.6 out of 5 stars,"26,299",$18.87 
The Guilty Husband: An utterly gripping psychological thriller with a jaw-dropping twist! ,Stephanie DeCarolis,4.3 out of 5 stars,"7,000",$0.99 
The Beach House (South Carolina Sunsets Book 1) ,Paperback,4.3 out of 5 stars,"35,964",$2.99 
Night (Night) ,Audible Audiobook,4.7 out of 5 stars,"6,828",$5.49 
"Father Brown Complete Murder Mysteries: The Innocence of Father Brown, The Wisdom of Father Brown, The Donnington Affair… ",G. K. Chesterton,4.2 out of 5 stars,"1,791",$1.99 
The Cipher (Nina Guerrera Book 1) ,Paperback,4.4 out of 5 stars,"27,900",$0.00 
The Peacemaker's Code ,Deepak Malhotra,4.7 out of 5 stars,992,$0.00 
Cloudbuster Nine: The Untold Story of Ted Williams and the Baseball Team That Helped Win World War II ,Anne R. Keene,4.6 out of 5 stars,712,$16.19 
"Extraordinary Women In History: 70 Remarkable Women Who Made a Difference, Inspired & Broke Barriers ",Leah Gail,4.3 out of 5 stars,51,$0.00 
We Were the Lucky Ones ,Kindle,4.7 out of 5 stars,"4,366",$0.00 
The Henna Artist: A Novel (The Jaipur Trilogy Book 1) ,Audible Audiobook,4.5 out of 5 stars,"23,458",$4.99 
The Prayer Box (A Carolina Heirlooms Novel) ,Kindle,4.7 out of 5 stars,"4,366",$9.19 
Make $1000 Selling on eBay Before Christmas ,Kindle,4.7 out of 5 stars,992,$9.99 
The Clover Girls: A Novel ,Viola Shipman,4.4 out of 5 stars,984,$9.99 
The Best of Me ,Nicholas Sparks,4.6 out of 5 stars,"7,529",$7.48 
Devoted ,Dean Koontz,4.4 out of 5 stars,"16,749",$10.99 
The Venice Sketchbook: A Novel ,Rhys Bowen,4.5 out of 5 stars,"27,900",$0.00 
The Second Mrs. Astor: A Heartbreaking Historical Novel of the Titanic ,Shana Abe,4.3 out of 5 stars,"1,164",$8.23 
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis ,Kindle,4.5 out of 5 stars,"12,365",$0.00 
Quiet: The Power of Introverts in a World That Can't Stop Talking ,Susan Cain,4.6 out of 5 stars,"16,022",$15.33 
"City of the Dead (Maximum Ride: Hawk, 2) ",Kindle,3.8 out of 5 stars,"5,556",$14.77 
Talking to Strangers: What We Should Know About the People We Don't Know ,Hardcover,4.5 out of 5 stars,"42,123",$0.00 
My Encyclopedia of Very Important Things: For Little Learners Who Want to Know Everything (My Very Important Encyclopedias) ,Kindle,4.8 out of 5 stars,"23,232",$7.67 
Fear No Evil (Alex Cross Book 29) ,Hardcover,4.6 out of 5 stars,"4,366",$14.99 
These Tangled Vines: A Novel ,Kindle,4.4 out of 5 stars,"23,232",$0.00 
The Christmas House: A Hickory Grove Novel ,Paperback,4.4 out of 5 stars,"78,945",$3.99 
Little Fires Everywhere: A Novel ,Celeste Ng,4.5 out of 5 stars,"51,764",$10.20 
The Last Rose of Shanghai: A Novel ,Weina Dai Randel,4.3 out of 5 stars,"3,032",$0.00 
"150 Most Famous Poems: Emily Dickinson, Robert Frost, William Shakespeare, Edgar Allan Poe, Walt Whitman and many more ",Poetry House,4.7 out of 5 stars,355,$14.61 
"The Unofficial Masterbuilt Electric Smoker Cookbook: Ultimate Smoker Cookbook for Real Pitmasters, Includes Irresistible Meat, Fish, Poultry, Game, Vegetable Recipes for Your Electric Smoker ",Adam Jones,4.9 out of 5 stars,9,$22.99 
The Martian ,Paperback,4.7 out of 5 stars,"26,299",$0.00 
The Guest List: A Novel ,Paperback,4.2 out of 5 stars,"42,456",$0.00 
The Law of Innocence ,Kindle,4.5 out of 5 stars,"35,964",$0.00 
The Last of the Moon Girls ,Barbara Davis,4.4 out of 5 stars,"30,278",$0.00 
Extreme Ownership: How U.S. Navy SEALs Lead and Win ,Paperback,4.8 out of 5 stars,"12,069",$0.00 
Beyond Biden: Rebuilding the America We Love ,Newt Gingrich,4.7 out of 5 stars,179,$18.84 
PIT BOSS WOOD PELLET GRILL & SMOKER COOKBOOK: 1000 Days Mouthwatering BBQ Recipes. The Ultimate Beginner-to-Pro Guide to Become the Undisputed Pitmaster of Your Neighborhood ,Steven Devon,4.7 out of 5 stars,70,$0.00 
Project Hail Mary ,Kindle,4.7 out of 5 stars,"78,945",$0.00 
The Restaurant (The Nantucket Restaurant series Book 1) ,Paperback,4.1 out of 5 stars,"4,366",$4.99 
It Ends with Us: A Novel ,Colleen Hoover,4.7 out of 5 stars,"41,242",$9.47 
Blood in the Bayou: A Bone-Chilling FBI Thriller (FBI Agent Jade Monroe Live or Die Series Book 1) ,Paperback,4.2 out of 5 stars,"5,556",$0.00 
"The Last Duel: A True Story of Crime, Scandal, and Trial by Combat ",Eric Jager,4.4 out of 5 stars,987,$12.99 
The Reckoning: A Novel ,John Grisham,4.2 out of 5 stars,"17,386",$7.99 
"Leviathan Falls: Expanse, Book 9 ",Kindle,4.7 out of 5 stars,"23,458",$0.00 
The Reckoning: A Novel ,John Grisham,4.2 out of 5 stars,"17,386",$7.99 
Flying Angels: A Novel ,Danielle Steel,4.6 out of 5 stars,582,$14.49 
Bloodline ,Jess Lourey,4.2 out of 5 stars,"17,586",$0.00 
Sooley: A Novel ,John Grisham,4.5 out of 5 stars,"27,852",$15.67 
While Justice Sleeps: A Novel ,Kindle,4.5 out of 5 stars,"23,458",$0.00 
Once Upon a Chef: Weeknight/Weekend: 70 Quick-Fix Weeknight Dinners + 30 Luscious Weekend Recipes: A Cookbook ,Jennifer Segal,4.9 out of 5 stars,652,$26.99 
Clive Cussler's The Devil's Sea (Dirk Pitt Adventure Book 26) ,Audible Audiobook,4.6 out of 5 stars,992,$14.99 
Vortex: An FBI Thriller ,Hardcover,4.7 out of 5 stars,"23,458",$14.99 
The London House ,Katherine Reay,4.5 out of 5 stars,159,$9.99 
A Wrinkle in Time (Time Quintet) ,Audible Audiobook,4.6 out of 5 stars,"1,209",$5.35 
Where Tomorrows Aren't Promised: A Memoir of Survival and Hope ,Carmelo Anthony,4.8 out of 5 stars,"4,366",$21.09 
The Murder on the Links (Hercule Poirot Book 2) ,Paperback,4.4 out of 5 stars,"1,209",$1.99 
Enemy at the Gates (Mitch Rapp Book 20) ,Audible Audiobook,4.6 out of 5 stars,"1,111",$14.99 
The Chronicles of Narnia Adult Box Set ,Paperback,4.8 out of 5 stars,992,$0.00 
My Daddy the Pedophile: A Memoir ,Paperback,4.5 out of 5 stars,"1,209",$0.00 
The Book of Joy: Lasting Happiness in a Changing World ,Audible Audiobook,4.8 out of 5 stars,"4,490",$18.73 
The Book of Lost Friends: A Novel ,Kindle,4.5 out of 5 stars,992,$0.00 
Talking to GOATs: The Moments You Remember and the Stories You Never Heard ,Jim Gray,4.6 out of 5 stars,"2,112",$14.59 
Firekeeper's Daughter ,Angeline Boulley,4.6 out of 5 stars,"4,366",$10.99 
A Little Hope: A Novel ,Ethan Joella,4.2 out of 5 stars,92,$17.21 
Elizabeth & Margaret: The Intimate World of the Windsor Sisters ,Andrew Morton,4.5 out of 5 stars,755,$18.49 
The Book Woman of Troublesome Creek: A Novel ,Kim Michele Richardson,4.6 out of 5 stars,"26,299",$7.99 
The Family ,Naomi Krupitsky,4.1 out of 5 stars,574,$17.94 
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience ,Brené Brown,4.4 out of 5 stars,33,$19.48 
